Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc,cnt_rd,cnt_wr
E2M3,32,128,128,0,1043,1032,98.95,1043,12.27,1028,128,12.45,256,840,631,1,9,0,850,2916,288
E2M3,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729,1800,288
E2M3,64,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,64,64,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,64,128,64,0,1039,1028,98.94,1039,12.32,1024,128,12.50,256,840,492,2,16,0,857,2844,288
E2M3,64,128,96,0,1447,1436,99.24,1447,8.85,1432,128,8.94,512,1224,1028,4,34,0,1259,4662,432
E2M3,64,128,128,0,1580,1569,99.30,1580,8.10,1565,128,8.18,512,1352,1033,4,34,0,1387,5256,576
E2M3,96,64,64,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,96,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,96,64,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,96,128,64,0,1311,1300,99.16,1311,9.76,1296,128,9.88,384,1096,629,4,32,0,1129,4050,432
E2M3,96,128,96,0,1984,1973,99.45,1984,6.45,1969,128,6.50,768,1736,1430,7,59,0,1796,6723,648
E2M3,96,128,128,0,2117,2106,99.48,2117,6.05,2102,128,6.09,768,1864,1435,7,59,0,1924,7596,864
E2M3,128,128,128,0,2654,2643,99.59,2654,4.82,2639,128,4.85,1024,2376,1837,10,84,0,2461,9936,1152
E2M3,160,128,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,192,128,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,128,160,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,128,192,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M3,160,192,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M1,32,64,64,0,592,581,98.14,592,21.62,577,128,22.18,64,456,194,0,0,0,457,1152,72
E2M1,32,64,96,0,752,741,98.54,752,17.02,737,128,17.37,128,584,348,1,9,0,594,1377,108
E2M1,32,64,128,0,883,872,98.75,883,14.50,868,128,14.75,128,712,351,1,9,0,722,1494,144
E2M1,32,128,64,0,734,723,98.50,734,17.44,719,128,17.80,128,584,334,0,0,0,585,1494,72
E2M1,32,128,96,0,892,881,98.77,892,14.35,877,128,14.60,256,712,614,1,9,0,722,1881,108
E2M1,32,128,128,0,1024,1013,98.93,1024,12.50,1009,128,12.69,256,840,618,1,9,0,850,2205,144
E2M1,64,64,64,0,885,874,98.76,885,14.46,870,128,14.71,128,712,282,2,16,0,729,1368,144
E2M1,64,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M1,64,64,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M1,64,128,64,0,1022,1011,98.92,1022,12.52,1007,128,12.71,256,840,481,2,16,0,857,1980,144
E2M1,64,128,96,0,1429,1418,99.23,1429,8.96,1414,128,9.05,512,1224,1016,4,34,0,1259,3222,216
E2M1,64,128,128,0,1561,1550,99.30,1561,8.20,1546,128,8.28,512,1352,1020,4,34,0,1387,3672,288
E2M1,96,64,64,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M1,96,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M1,96,64,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E2M1,96,128,64,0,1294,1283,99.15,1294,9.89,1279,128,10.01,384,1096,618,4,32,0,1129,2754,216
E2M1,96,128,96,0,1966,1955,99.44,1966,6.51,1951,128,6.56,768,1736,1418,7,59,0,1796,4563,324
E2M1,96,128,128,0,2098,2087,99.48,2098,6.10,2083,128,6.14,768,1864,1422,7,59,0,1924,5148,432
E2M1,128,128,128,0,2635,2624,99.58,2635,4.86,2620,128,4.89,1024,2376,1824,10,84,0,2461,6624,576
E2M1,160,128,128,0,3172,3161,99.65,3172,4.04,3157,128,4.05,1280,2888,2226,13,109,0,2998,8100,720
E2M1,192,128,128,0,3709,3698,99.70,3709,3.45,3694,128,3.47,1536,3400,2628,16,134,0,3535,9522,864
E2M1,128,160,128,0,3208,3197,99.66,3208,3.99,3193,128,4.01,1280,2888,2301,10,140,0,3029,7524,576
E2M1,128,192,128,0,3668,3657,99.70,3668,3.49,3653,128,3.50,1536,3400,2665,10,84,0,3485,8460,576
E2M1,160,192,128,0,4461,4450,99.75,4461,2.87,4446,128,2.88,1920,4168,3259,13,109,0,4278,10368,720
