Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc
FP16,32,64,64,BLANK,327,316,96.64,327,64,229,210,0,0
FP16,64,64,96,BLANK,776,765,98.58,776,256,581,691,1,78
FP16,128,128,128,BLANK,?,?,?,?,?,?,?,?,?
E2M3,32,64,64,BLANK,568,557,98.06,568,64,392,225,0,0
E2M3,64,128,96,BLANK,1639,1628,99.33,1639,512,1160,1311,9,289
E5M2,64,64,64,BLANK,813,802,98.65,813,128,584,325,3,47
E2M1,32,64,96,BLANK,728,717,98.49,728,128,488,407,1,56
E3M2,32,128,128,BLANK,1165,1154,99.06,1165,256,776,749,6,195
