Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc
FP16,32,64,64,0,327,316,96.64,327,64,229,210,0,0
FP16,64,64,96,0,776,765,98.58,776,256,581,691,1,78
FP16,128,128,128,BLANK,?,?,?,?,?,?,?,?,?
E2M3,32,64,64,0,536,525,97.95,536,64,392,194,0,0
E2M3,64,128,96,0,1383,1372,99.20,1383,512,1160,1028,4,34
E5M2,64,64,64,0,778,767,98.59,778,128,584,295,2,16
E2M1,32,64,96,0,656,645,98.32,656,128,488,348,1,9
E3M2,32,128,128,0,979,968,98.88,979,256,776,631,1,9
