Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc
FP16,32,64,64,BLANK,327,316,96.64,327,64,229,210,0,0
FP16,64,64,96,BLANK,776,765,98.58,776,256,581,691,1,78
FP16,128,128,128,BLANK,2266,2255,99.51,2266,1024,2149,2149,0,0
E2M3,32,64,64,BLANK,632,621,98.26,632,64,456,225,0,0
