Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
E3M2,64,128,64,0,975,964,98.87,975,13.13,960,128,13.33,256,776,492,2,16,0,793
E3M2,64,128,96,0,1383,1372,99.20,1383,9.26,1368,128,9.36,512,1160,1028,4,34,0,1195
E2M3,32,64,64,6,536,525,97.95,536,23.88,521,128,24.57,64,392,194,0,0,0,393
E2M3,32,64,96,9,678,667,98.38,678,18.88,663,128,19.31,128,488,362,1,9,0,498
E2M3,32,128,64,25,677,666,98.38,677,18.91,662,128,19.34,128,520,335,0,0,0,521
E2M3,32,128,96,22,846,835,98.70,846,15.13,831,128,15.40,256,648,626,1,9,0,658
E2M3,64,64,64,12,778,767,98.59,778,16.45,763,128,16.78,128,584,295,2,16,0,601
E2M3,64,64,96,515,979,968,98.88,979,13.07,964,128,13.28,256,748,588,5,50,0,799
E2M3,64,128,64,18,975,964,98.87,975,13.13,960,128,13.33,256,776,492,2,16,0,793
E2M3,64,128,96,46,1383,1372,99.20,1383,9.26,1368,128,9.36,512,1160,1028,4,34,0,1195
E2M1,32,64,64,0,528,517,97.92,528,24.24,513,128,24.95,64,392,194,0,0,0,393
E2M1,32,64,96,0,656,645,98.32,656,19.51,641,128,19.97,128,488,348,1,9,0,498
E2M1,32,128,64,0,670,659,98.36,670,19.10,655,128,19.54,128,520,334,0,0,0,521
E2M1,32,128,96,0,828,817,98.67,828,15.46,813,128,15.74,256,648,614,1,9,0,658
E2M1,64,64,64,0,757,746,98.55,757,16.91,742,128,17.25,128,584,282,2,16,0,601
E2M1,64,64,96,1577,944,933,98.83,944,13.56,929,128,13.78,256,748,561,5,37,0,786
E2M1,64,128,64,0,958,947,98.85,958,13.36,943,128,13.57,256,776,481,2,16,0,793
E2M1,64,128,96,0,1365,1354,99.19,1365,9.38,1350,128,9.48,512,1160,1016,4,34,0,1195
