=== PnR Commit Sweep (c5cc1373 + fwd disabled) Tue Apr 14 01:18:19 CEST 2026 ===
CSV: /scratch2/msc25h32/redmule/sweep_pnr_20260414_011819.csv
Detailed log: /scratch2/msc25h32/redmule/sweep_pnr_20260414_011819_detailed.log
E3M2 64x128x64: 0err tc=975 busy=98.87% eu=13.13% util=13.33% stall=2ev/16cyc
E3M2 64x128x96: 0err tc=1383 busy=99.20% eu=9.26% util=9.36% stall=4ev/34cyc
E2M3 32x64x64: 6err tc=536 busy=97.95% eu=23.88% util=24.57% stall=0ev/0cyc
E2M3 32x64x96: 9err tc=678 busy=98.38% eu=18.88% util=19.31% stall=1ev/9cyc
E2M3 32x128x64: 25err tc=677 busy=98.38% eu=18.91% util=19.34% stall=0ev/0cyc
E2M3 32x128x96: 22err tc=846 busy=98.70% eu=15.13% util=15.40% stall=1ev/9cyc
E2M3 64x64x64: 12err tc=778 busy=98.59% eu=16.45% util=16.78% stall=2ev/16cyc
E2M3 64x64x96: 515err tc=979 busy=98.88% eu=13.07% util=13.28% stall=5ev/50cyc
E2M3 64x128x64: 18err tc=975 busy=98.87% eu=13.13% util=13.33% stall=2ev/16cyc
E2M3 64x128x96: 46err tc=1383 busy=99.20% eu=9.26% util=9.36% stall=4ev/34cyc
E2M1 32x64x64: 0err tc=528 busy=97.92% eu=24.24% util=24.95% stall=0ev/0cyc
E2M1 32x64x96: 0err tc=656 busy=98.32% eu=19.51% util=19.97% stall=1ev/9cyc
E2M1 32x128x64: 0err tc=670 busy=98.36% eu=19.10% util=19.54% stall=0ev/0cyc
E2M1 32x128x96: 0err tc=828 busy=98.67% eu=15.46% util=15.74% stall=1ev/9cyc
E2M1 64x64x64: 0err tc=757 busy=98.55% eu=16.91% util=17.25% stall=2ev/16cyc
E2M1 64x64x96: 1577err tc=944 busy=98.83% eu=13.56% util=13.78% stall=5ev/37cyc
E2M1 64x128x64: 0err tc=958 busy=98.85% eu=13.36% util=13.57% stall=2ev/16cyc
E2M1 64x128x96: 0err tc=1365 busy=99.19% eu=9.38% util=9.48% stall=4ev/34cyc

=== DONE Tue Apr 14 04:21:19 CEST 2026 ===
CSV: /scratch2/msc25h32/redmule/sweep_pnr_20260414_011819.csv
Detailed log: /scratch2/msc25h32/redmule/sweep_pnr_20260414_011819_detailed.log
